,Pokemon,Behavior
7,Duosion,"Duosion is the evolved form of Solosis, and evolves into Reuniclus at level 41"
0,Reuniclus,Reuniclus is able to increase its psychic powers via clasping hands with other Reuniclus
1,Reuniclus, It also uses its psychic abilities to manipulate the large arms that make up its green membrane; these arms possess huge gripping strength that can crush large boulders
2,Reuniclus,"Although capable of using its psychic powers in battle, Reuniclus prefers to use its large arms to pummel opponents"
3,Reuniclus, Its membrane contains a special liquid that supposedly enhances wisdom
4,Reuniclus," However, to a human, the liquid itself is highly toxic to consume"
5,Reuniclus,Reuniclus is the final evolution of Solosis and evolves from Duosion at level 41
0,Ducklett,"Ducklett inhabit slightly acidic ponds, though they can also sometimes be found splashing around in large puddles"
1,Ducklett," Their favorite food is peat moss, which is abundant in their habitats"
2,Ducklett," Ducklett never leave their mothers’ sides, walking behind them in single-file lines with their siblings"
3,Ducklett, Ducklett are excellent divers
4,Ducklett, They will spend long periods of time completely submerged as they search for food
5,Ducklett," Ducklett are poor fliers, however, so they rarely take to the air, even when endangered"
6,Ducklett,"If attacked in the water, Ducklett will splash about wildly to distract opponents as they escape"
7,Ducklett, The splashing also alerts their mothers and siblings of approaching danger
8,Ducklett," Ducklett store water in flexible sacs within their bodies; on land, they can then spray this stored water from specialized feathers on their wings at the eyes of foes, briefly obscuring their vision as they frantically waddle away"
9,Ducklett," Their distressed quacking will signal to their siblings to aid them in spraying more water as well, potentially blinding threats from all possible angles"
10,Ducklett,Ducklett evolves into Swanna at level 35
0,Swanna,"It can fly for thousands of mile without rest, much like how Mudsdale can travel long distances on land, and take flight at dawn"
1,Swanna," At dusk, they dance around their leader"
2,Swanna," 
It appears to be very physically powerful as it delivers forceful pecks from its beak"
3,Swanna,Swanna is the evolved form of Ducklett as of level 35
0,Vanillite,Vanillite is theorized to be created from icicles that absorb the rays of a morning sun
1,Vanillite, They don't tolerate living in hot areas and will maintain their cold body temperature via creating snow with icy breaths that can reach negative 58 degrees Fahrenheit
2,Vanillite," Vanillite will seek shelter by hiding underneath snow, mostly whenever they need to sleep"
3,Vanillite," In hotter regions, they are treasured by households, though they shrink little by little"
4,Vanillite, Glalie is a natural predator of Vanillite
0,Vanillish,"Vanillish live in southern, snowy mountains, which they had migrated to during an ancient ice age"
1,Vanillish," They create ice inside their bodies by drinking water and then expel it to hide or freeze opponents, and they can shatter frozen opponents with powerful headbutts as well"
2,Vanillish,"Vanillish are smaller in hotter regions, and though one can refreeze its snow despite melting, this process can leave its appearance warped"
3,Vanillish," Despite this, they are very popular in the tropics due to their air-chilling abilities"
4,Vanillish, Trainers in regions like Alola must treat their Vanillish periodically with insulating spray to keep them cold
5,Vanillish, Such individuals also tend to be smaller than those found in polar areas
6,Vanillish,"Though once widespread during a past ice age, areas suitable for Vanillish and their relatives shrank and became isolated from each other during a warming period, separated by bands of warmer temperatures that they could not cross"
7,Vanillish," Today, they can only be found in the icy parts of the southern hemisphere and a select few other chilly areas"
8,Vanillish,"Despite their powerful ability to freeze their foes solid, Vanillish are surprisingly kind Pokémon"
9,Vanillish, They dislike violence and prefer to immobilize attackers just long enough for them to flee without harming them any further
0,Vanilluxe,"This Pokémon consume large quantities of water, which they store inside their bodies and create internal snow clouds"
1,Vanilluxe," When angered, they will spew out the snow clouds and blast violent blizzards at their opponents"
2,Vanilluxe,"Unlike their pre-evolutions, Vanilluxe appear to be more unstable and moody, despite the grins on their faces, often having infighting between the 2 heads"
3,Vanilluxe," In fact, when their anger reaches a breaking point, they will mercilessly blast out powerful blizzards regardless of them hitting either friend or foe"
0,Deerling,"Deerling are found primarily in montane forests, though they are known to venture into lowland areas from time to time as well"
1,Deerling, They are herbivorous Pokémon that graze on low-growing vegetation
2,Deerling," They are also very timid, hiding in tall grass at the slightest indication of danger"
3,Deerling," They are hibernators, as shown in Pokémon Pocket Comics: Black & White (Originally ポケモンBW 爆笑4コマまんが全集; Pokémon Black & White Laughter 4Koma Comic Compilation)"
4,Deerling," Despite their innocent and adorable appearance, Deerling are considered pests by farmers, as they tend to eat all of their plant shoots"
5,Deerling, Lycanroc is a natural enemy of Deerling; farmers often use them to guard their fields
6,Deerling,Deerling evolves into Sawsbuck at level 34
0,Sawsbuck,Sawsbuck live in herds in forests
1,Sawsbuck," Their most striking features are their antlers, which host a variety of different plants throughout the year"
2,Sawsbuck," These plants obtain nutrients from the vegetation Sawsbuck eat, and in turn provide them with camouflage to hide in the surrounding environments"
3,Sawsbuck," In spring, the flowers budding on their antlers match those growing around them"
4,Sawsbuck,Sawsbuck herds are led by the individuals with the largest antlers and most beautiful plants growing on them
5,Sawsbuck," These Pokémon migrate to different areas each season; because of this, people often refer to them as the “harbingers of spring,” because they return to their initial habitats once spring comes around again"
6,Sawsbuck," Like Deerling, people often use the antlers of Sawsbuck to determine the season"
7,Sawsbuck,"In Paldea, Spring Form Sawsbuck is said to many flowers on its antlers will grow at a slightly slower pace because the flowers absorb the Pokémon’s nutrients"
